country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_gbp,employee_ni_monthly_gbp,employer_ni_monthly_gbp,employee_pension_monthly_gbp,employer_pension_monthly_gbp,employee_contributions_monthly_gbp,employer_contributions_monthly_gbp,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_gbp,personal_allowance_annual_gbp,annual_taxable_income_gbp,income_tax_monthly_gbp,net_after_income_tax_monthly_gbp,employer_cost_monthly_gbp,social_wedge_monthly_gbp,total_wedge_after_income_tax_monthly_gbp,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_gbp,delta_net_before_income_tax_monthly_gbp,delta_net_after_income_tax_monthly_gbp,delta_employer_cost_monthly_gbp,delta_social_wedge_monthly_gbp,delta_total_wedge_after_income_tax_monthly_gbp,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.52,7270.1376,312.95,1028.02,183.46,110.08,496.41,1138.1,0.06828068838752102,0.15654449236284054,6773.7276,12570.0,72470.18,2000.01,4773.7176,8408.2376,1634.51,3634.52,1.2413014069240105,1.761360496062859,20.653800000000047,20.243800000000192,10.94380000000001,23.75380000000041,3.509999999999991,12.809999999999945,0.9801489314315113,0.5298685956095239,1.1500934452740104,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.53,7290.7914,313.37,1031.12,183.46,110.08,496.83,1141.2,0.06814486559031165,0.15652621744190895,6793.9614,12570.0,72717.98,2009.3,4784.6614,8431.9914,1638.03,3647.33,1.241100869369084,1.7622963664680638,20.653800000000047,20.233799999999974,10.94380000000001,23.75380000000041,3.519999999999982,12.809999999999945,0.979664759027391,0.5298685956095239,1.1500934452740104,0.17042868624659743,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.54,7311.4452,313.78,1034.22,183.46,110.08,497.24,1144.3,0.06800844243488278,0.15650804576911825,6814.2052,12570.0,72965.9,2018.6,4795.6052,8455.7452,1641.54,3660.14,1.24089970169962,1.763227965471386,20.653800000000047,20.243800000000192,10.94380000000001,23.75379999999859,3.509999999999991,12.809999999999945,0.9801489314315113,0.5298685956095239,1.1500934452739224,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.55,7332.099,314.19,1037.32,183.46,110.08,497.65,1147.4,0.06787278786061127,0.15648997647194887,6834.449,12570.0,73213.7,2027.89,4806.559,8479.499,1645.05,3672.94,1.2406997257569703,1.7641516519406086,20.653800000000047,20.243799999999283,10.953800000000228,23.75380000000041,3.509999999999991,12.800000000000182,0.9801489314314672,0.5303527680136442,1.1500934452740104,0.1699445138424882,0.6197406772603663
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.56,7352.7528,314.61,1040.41,183.46,110.08,498.07,1150.49,0.06773925542553261,0.15647064865284196,6854.6828,12570.0,73461.5,2037.19,4817.4928,8503.2428,1648.56,3685.75,1.240501281839037,1.765076389942918,20.653800000000047,20.233799999999974,10.933799999999792,23.743800000000192,3.509999999999991,12.809999999999945,0.979664759027391,0.5293844232054037,1.1496092728698901,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.57,7373.4066,315.02,1043.51,183.46,110.08,498.48,1153.59,0.06760511484610113,0.15645278533805526,6874.9266,12570.0,73709.42,2046.48,4828.4466,8526.9966,1652.07,3698.55,1.2403036564783105,1.765991695962838,20.653800000000047,20.243800000000192,10.953800000000228,23.75380000000041,3.509999999999991,12.800000000000182,0.9801489314315113,0.5303527680136442,1.1500934452740104,0.1699445138424882,0.6197406772603663
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.58,7394.0604,315.43,1046.61,183.46,110.08,498.89,1156.69,0.06747172365538155,0.15643502181832322,6895.1704,12570.0,73957.22,2055.78,4839.3904,8550.7504,1655.58,3711.36,1.24010719154961,1.766906509547153,20.653800000000047,20.243800000000192,10.94380000000001,23.75380000000041,3.509999999999991,12.809999999999945,0.9801489314315113,0.5298685956095239,1.1500934452740104,0.1699445138424882,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.59,7414.7142,315.84,1049.71,183.46,110.08,499.3,1159.79,0.06733907559107268,0.15641735725970393,6915.4142,12570.0,74205.02,2065.07,4850.3442,8574.5042,1659.09,3724.16,1.2399118768619817,1.7678135502218586,20.653800000000047,20.243800000000192,10.953799999999319,23.75379999999859,3.509999999999991,12.799999999999727,0.9801489314315113,0.5303527680136001,1.1500934452739224,0.1699445138424882,0.6197406772603442
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.6,7435.368,316.26,1052.81,183.46,110.08,499.72,1162.89,0.06720850938379916,0.1563997908375214,6935.648,12570.0,74452.94,2074.36,4861.288,8598.258,1662.61,3736.97,1.239719489801097,1.7687201416579308,20.653800000000047,20.233799999999974,10.94380000000001,23.75380000000041,3.519999999999982,12.809999999999945,0.979664759027391,0.5298685956095239,1.1500934452740104,0.17042868624659743,0.6202248496644645
United Kingdom,UK,2026-04,2026-04-06,uk__standard_employee_scotland,"Royaume-Uni · salarié standard, Écosse","United Kingdom · standard employee, Scotland",3.61,7456.0218,316.67,1055.9,183.46,110.08,500.13,1165.98,0.06707732533721937,0.1563809805384421,6955.8918,12570.0,74700.74,2083.66,4872.2318,8622.0018,1666.11,3749.77,1.2395250023871849,1.7696206079521912,20.653800000000047,20.243800000000192,10.94380000000001,23.743800000000192,3.5,12.800000000000182,0.9801489314315113,0.5298685956095239,1.1496092728698901,0.169460341438379,0.6197406772603663
