country,country_code,version,effective_from,prefecture_code,prefecture_name_fr,prefecture_name_en,smic_multiple,gross_monthly_jpy,health_employer_monthly_jpy,health_employee_monthly_jpy,child_support_money_employer_monthly_jpy,child_support_money_employee_monthly_jpy,pension_employer_monthly_jpy,pension_employee_monthly_jpy,child_childcare_contribution_monthly_jpy,employment_insurance_employer_monthly_jpy,employment_insurance_employee_monthly_jpy,workers_accident_insurance_monthly_jpy,iit_annual_jpy,resident_tax_annual_jpy,employee_contributions_monthly_jpy,employer_contributions_monthly_jpy,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_jpy,income_tax_monthly_jpy,net_after_income_tax_monthly_jpy,employer_cost_monthly_jpy,social_wedge_monthly_jpy,total_wedge_after_income_tax_monthly_jpy,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_jpy,delta_net_before_income_tax_monthly_jpy,delta_net_after_income_tax_monthly_jpy,delta_employer_cost_monthly_jpy,delta_social_wedge_monthly_jpy,delta_total_wedge_after_income_tax_monthly_jpy,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.1,233757.33337,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,1986.937334,1168.786667,701.272,21387.426088,107895.056,35320.786667,37704.209334,0.1511002292747022,0.1612963700012583,198436.546703,10773.540174,187663.006529,271461.542704,73024.996001,83798.536175,1.3680017477317137,1.4465373209372963,2125.0666670000064,2114.441334000003,1869.331290000002,2149.504934000026,35.06360000000859,280.17364399999497,0.9950000001576405,0.8796577156983829,1.0115000001550631,0.01649999999741584,0.13184228445666646
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.11,235882.400037,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2005.0004,1179.412,707.6472,22238.557009,109562.3056,35331.412,37728.6476,0.14978401099294814,0.1599468531544001,200550.988037,10983.405217,189567.582819,273611.047637,73060.059601,84043.464818,1.3642966824336908,1.4433430208266742,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.50493299996,35.06359999999404,244.928642999992,0.9950000001576405,0.8962430777236371,1.0114999996844587,0.01649999999740899,0.11525692196083524
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.12,238007.466704,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2023.063467,1190.037334,714.0224,23232.627929,111509.5552,35342.037334,37753.085867,0.14849129660908253,0.1586214348226644,202665.42937,11228.515261,191436.91411,275760.552571,73095.123201,84323.638461,1.3606689282314417,1.4404774223066705,2125.0666669999773,2114.441332999995,1869.3312910000095,2149.504934000026,35.06359999999404,280.1736430000019,0.994999999687077,0.879657716168972,1.011500000155077,0.016499999997409216,0.13184228398609807
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.13,240132.533371,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2041.126534,1200.662667,720.3976,24083.75885,113176.8048,35352.662667,37777.524134,0.14722146212581635,0.15731947522246384,204779.870704,11438.380304,193341.4904,277910.057505,73130.186801,84568.567105,1.357116090312783,1.4374051680776982,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.5049339999678,35.06360000000859,244.92864399999962,0.9950000001576405,0.8962430777236371,1.0115000001550358,0.01649999999741584,0.1152569224314123
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.14,242257.600038,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2059.1896,1211.288,726.7728,24934.889771,114844.0544,35363.288,37801.9624,0.14597390544050215,0.156040357018758,206894.312038,11648.245348,195246.06669,280059.562438,73165.250401,84813.495748,1.3536358717645944,1.434392851983832,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.5049330000184,35.06359999999404,244.92864300000656,0.9950000001576405,0.8962430777236371,1.011499999684486,0.01649999999740899,0.1152569219608421
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.15,244382.666705,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2077.252667,1221.913334,733.148,25928.960692,116791.304,35373.913334,37826.400667,0.14474804539319344,0.15478348434902967,209008.753371,11893.355391,197115.397981,282209.067372,73200.314001,85093.669392,1.3502260686208307,1.4316946837406377,2125.0666670000064,2114.441332999995,1869.3312909999804,2149.504934000026,35.06360000000859,280.17364399999497,0.9949999996870634,0.8796577161689463,1.0115000001550631,0.01649999999741584,0.13184228445666646
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.16,246507.733372,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2095.315734,1232.538667,739.5232,26780.091613,118458.5536,35384.538667,37850.838934,0.14354332086394175,0.15354828189774491,211123.194705,12103.220434,199019.974271,284358.572306,73235.377601,85338.598035,1.3468845652081023,1.4287941366071355,2125.0666669999773,2114.441334000003,1904.5762900000263,2149.5049339999678,35.06359999999404,244.92864300000656,0.9950000001576541,0.8962430777236631,1.0115000001550496,0.016499999997409216,0.11525692196084368
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.17,248632.800039,11916.0,11916.0,276.0,276.0,21960.0,21960.0,864.0,2113.3788,1243.164,745.8984,27631.222533,120125.8032,35395.164,37875.2772,0.1423591899163867,0.15233419401827702,213237.636039,12313.085478,200924.550561,286508.077239,73270.441201,85583.526678,1.3436093297681735,1.4259485784063828,2125.0666670000064,2114.441334000003,1904.5762899999972,2149.5049330000184,35.06359999999404,244.928642999992,0.9950000001576405,0.8962430777236371,1.011499999684486,0.01649999999740899,0.11525692196083524
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.18,250757.866706,12909.0,12909.0,299.0,299.0,23790.0,23790.0,936.0,2131.441867,1253.789334,752.2736,26881.833854,118657.8528,38251.789334,40817.715467,0.15254472306696623,0.1627774075577679,212506.077372,12128.307221,200377.770151,291575.582173,79069.504801,91197.812022,1.3720811459996975,1.4551293886190986,2125.0666670000064,-731.5586670000048,-546.7804100000067,5067.504933999968,5799.063600000009,5614.2853440000035,-0.3442521019977029,-0.25730035602690343,2.3846333918332325,2.7288854933603788,2.6419337478601497
Japan,JP,2026-01,2026-01-01,aichi,Aichi,Aichi,1.19,252882.933373,12909.0,12909.0,299.0,299.0,23790.0,23790.0,936.0,2149.504934,1264.414667,758.6488,27732.964775,120325.1024,38262.414667,40842.153734,0.15130485144455474,0.16150616883879507,214620.518706,12338.172265,202282.346442,293725.087107,79104.568401,91442.740665,1.3685787774512226,1.452054973030681,2125.0666670000064,2114.441334000003,1904.5762910000049,2149.504934000026,35.06359999999404,244.92864300000656,0.9950000001576405,0.8962430781942142,1.0115000001550631,0.01649999999740899,0.1152569219608421
