country,country_code,version,effective_from,province_code,province_name_fr,province_name_en,smic_multiple,gross_monthly_rmb,pension_employer_monthly_rmb,pension_employee_monthly_rmb,medical_employer_monthly_rmb,medical_employee_monthly_rmb,unemployment_employer_monthly_rmb,unemployment_employee_monthly_rmb,work_injury_employer_monthly_rmb,hpf_employer_monthly_rmb,hpf_employee_monthly_rmb,employee_contributions_monthly_rmb,employer_contributions_monthly_rmb,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_rmb,income_tax_monthly_rmb,net_after_income_tax_monthly_rmb,employer_cost_monthly_rmb,social_wedge_monthly_rmb,total_wedge_after_income_tax_monthly_rmb,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_rmb,delta_net_before_income_tax_monthly_rmb,delta_net_after_income_tax_monthly_rmb,delta_employer_cost_monthly_rmb,delta_social_wedge_monthly_rmb,delta_total_wedge_after_income_tax_monthly_rmb,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.01,2767.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,193.718,193.718,646.373,1189.559,0.23356688588566887,0.4298471489484715,2121.027,0.0,2121.027,3956.959,1835.932,1835.932,1.865586340956527,1.865586340956527,27.40000000000009,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.02,2794.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,195.636,195.636,648.291,1191.477,0.23196328896522114,0.4263192357234864,2146.509,0.0,2146.509,3986.277,1839.768,1839.768,1.8570977340416461,1.8570977340416461,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.03,2822.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,197.554,197.554,650.209,1193.395,0.23039082984905393,0.4228598256679186,2171.991,0.0,2171.991,4015.595,1843.604,1843.604,1.8488083053751145,1.8488083053751145,27.399999999999636,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000054,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.04,2849.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,199.472,199.472,652.127,1195.313,0.2288486103312746,0.419466942728804,2197.473,0.0,2197.473,4044.913,1847.44,1847.44,1.8407111259159952,1.8407111259159952,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.05,2877.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,201.39,201.39,654.045,1197.231,0.22733576642335768,0.4161386861313869,2222.955,0.0,2222.955,4074.231,1851.276,1851.276,1.8327995843370648,1.8327995843370648,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.06,2904.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,203.308,203.308,655.963,1199.149,0.22585146674011847,0.4128732268282605,2248.437,0.0,2248.437,4103.549,1855.112,1855.112,1.8250673690212358,1.8250673690212358,27.40000000000009,25.48199999999997,25.48199999999997,29.317999999999756,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.0699999999999876,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.07,2931.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,205.226,205.226,657.881,1201.067,0.2243949109761921,0.4096688041476226,2273.919,0.0,2273.919,4132.867,1858.948,1858.948,1.8175084512684931,1.8175084512684931,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.08,2959.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,207.144,207.144,659.799,1202.985,0.2229653284671533,0.40652372262773717,2299.401,0.0,2299.401,4162.185,1862.784,1862.784,1.8101170696194355,1.8101170696194355,27.399999999999636,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0700000000000218,0.14000000000000232,0.14000000000000232
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.09,2986.6,689.76,344.88,275.904,86.22,21.555,21.555,8.622,209.062,209.062,661.717,1204.903,0.22156197682983997,0.40343634902564784,2324.883,0.0,2324.883,4191.503,1866.62,1866.62,1.8028877152097547,1.8028877152097547,27.40000000000009,25.48199999999997,25.48199999999997,29.3179999999993,3.8359999999997854,3.8359999999997854,0.9299999999999958,0.9299999999999958,1.069999999999971,0.13999999999999171,0.13999999999999171
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.1,3014.0,689.76,344.88,275.904,86.22,21.555,21.555,8.622,210.98,210.98,663.635,1206.821,0.22018414067684142,0.400405109489051,2350.365,0.0,2350.365,4220.821,1870.456,1870.456,1.7958151180774047,1.7958151180774047,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.11,3041.4,689.76,344.88,275.904,86.22,21.555,21.555,8.622,212.898,212.898,665.553,1208.739,0.2188311304004735,0.3974284868810416,2375.847,0.0,2375.847,4250.139,1874.292,1874.292,1.7888942343509495,1.7888942343509495,27.40000000000009,25.482000000000426,25.482000000000426,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9300000000000125,0.9300000000000125,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.12,3068.8,689.76,344.88,275.904,86.22,21.555,21.555,8.622,214.816,214.816,667.471,1210.657,0.21750228102189784,0.39450501824817513,2401.329,0.0,2401.329,4279.457,1878.128,1878.128,1.7821202342536153,1.7821202342536153,27.40000000000009,25.48199999999997,25.48199999999997,29.31800000000021,3.8360000000000127,3.8360000000000127,0.9299999999999958,0.9299999999999958,1.070000000000004,0.14,0.14
China,CN,2026-01,2026-01-01,AH,Anhui,Anhui,1.13,3096.2,689.76,344.88,275.904,86.22,21.555,21.555,8.622,216.734,216.734,669.389,1212.575,0.21619695110135007,0.39163329242297007,2426.811,0.0,2426.811,4308.775,1881.964,1881.964,1.7754884908631121,1.7754884908631121,27.399999999999636,25.48199999999997,25.48199999999997,29.3179999999993,3.8360000000000127,3.8360000000000127,0.9300000000000113,0.9300000000000113,1.0699999999999887,0.14000000000000232,0.14000000000000232
