country,country_code,module_version,currency,canton_code,canton_name_fr,canton_name_en,reference_municipality,gross_monthly_chf,gross_annual_chf,employee_ahv_iv_eo_monthly_chf,employee_unemployment_monthly_chf,employee_lpp_monthly_chf,employee_accident_monthly_chf,employee_total_contrib_monthly_chf,employer_ahv_iv_eo_monthly_chf,employer_unemployment_monthly_chf,employer_lpp_monthly_chf,employer_accident_monthly_chf,employer_total_contrib_monthly_chf,net_before_tax_monthly_chf,withholding_tax_monthly_chf,withholding_tax_rate_percent,net_after_tax_monthly_chf,ordinary_federal_tax_monthly_chf,ordinary_cantonal_tax_monthly_chf,ordinary_communal_tax_monthly_chf,ordinary_tax_monthly_chf,net_after_ordinary_tax_monthly_chf,employer_cost_monthly_chf,social_wedge_monthly_chf,total_wedge_after_tax_monthly_chf,total_wedge_after_ordinary_tax_monthly_chf,employee_contribution_rate,employer_contribution_rate,social_wedge_rate_employer_cost,cost_to_net_before_tax_ratio,cost_to_net_after_tax_ratio,cost_to_net_after_ordinary_tax_ratio,withholding_tax_status,ordinary_tax_status,profile_id
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6000.0,72000.0,318.0,66.0,189.75,72.0,645.75,318.0,66.0,189.75,30.0,603.75,5354.25,407.4,6.79,4946.85,85.65,292.44,366.32,744.41,4609.84,6603.75,1249.5,1656.9,1993.91,0.107625,0.100625,0.18921068,1.23336602,1.33494042,1.43253345,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6100.0,73200.0,323.3,67.1,194.75,73.2,658.35,323.3,67.1,194.75,30.5,615.65,5441.65,420.29,6.89,5021.36,88.62,300.04,375.84,764.5,4677.15,6715.65,1274.0,1694.29,2038.5,0.10792623,0.10092623,0.18970613,1.23412017,1.33741656,1.43584234,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6200.0,74400.0,328.6,68.2,199.75,74.4,670.95,328.6,68.2,199.75,31.0,627.55,5529.05,433.38,6.99,5095.67,91.59,307.64,385.36,784.6,4744.45,6827.55,1298.5,1731.88,2083.1,0.10821774,0.10121774,0.19018535,1.23485047,1.33987287,1.43906038,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6300.0,75600.0,333.9,69.3,204.75,75.6,683.55,333.9,69.3,204.75,31.5,639.45,5616.45,447.3,7.1,5169.15,94.56,315.24,394.88,804.69,4811.76,6939.45,1323.0,1770.3,2127.69,0.1085,0.1015,0.19064911,1.23555805,1.3424741,1.4421854,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6400.0,76800.0,339.2,70.4,209.75,76.8,696.15,339.2,70.4,209.75,32.0,651.35,5703.85,460.16,7.19,5243.69,99.02,323.16,404.8,826.97,4876.88,7051.35,1347.5,1807.66,2174.47,0.10877344,0.10177344,0.19109816,1.23624394,1.34473052,1.44587318,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6500.0,78000.0,344.5,71.5,214.75,78.0,708.75,344.5,71.5,214.75,32.5,663.25,5791.25,473.2,7.28,5318.05,104.96,331.71,415.51,852.18,4939.07,7163.25,1372.0,1845.2,2224.18,0.10903846,0.10203846,0.19153317,1.23690913,1.34696928,1.45032364,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6600.0,79200.0,349.8,72.6,219.75,79.2,721.35,349.8,72.6,219.75,33.0,675.15,5878.65,486.42,7.37,5392.23,110.9,340.26,426.22,877.37,5001.28,7275.15,1396.5,1882.92,2273.87,0.10929545,0.10229545,0.19195481,1.23755454,1.34919134,1.45465761,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6700.0,80400.0,355.1,73.7,224.75,80.4,733.95,355.1,73.7,224.75,33.5,687.05,5966.05,499.82,7.46,5466.23,116.84,348.81,436.93,902.57,5063.48,7387.05,1421.0,1920.82,2323.57,0.10954478,0.10254478,0.19236366,1.23818104,1.35139758,1.45888796,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6800.0,81600.0,360.4,74.8,229.75,81.6,746.55,360.4,74.8,229.75,34.0,698.95,6053.45,513.4,7.55,5540.05,122.78,357.36,447.64,927.77,5125.68,7498.95,1445.5,1958.9,2373.27,0.10978676,0.10278676,0.19276032,1.23878945,1.35358887,1.46301564,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
Switzerland,CH,2026-01,CHF,ZH,Zurich,Zurich,Zürich,6900.0,82800.0,365.7,75.9,234.75,82.8,759.15,365.7,75.9,234.75,34.5,710.85,6140.85,527.85,7.65,5613.0,129.1,365.91,458.35,953.36,5187.49,7610.85,1470.0,1997.85,2423.36,0.11002174,0.10302174,0.19314531,1.23938054,1.35593266,1.46715464,official_2026_tariff_A0,official_2026_federal_cantonal_communal,switzerland__zh__single_no_child_standard_lpp
