country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_prsi_monthly_eur,employer_prsi_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,income_tax_monthly_eur,usc_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.9,2152.215,90.39,242.15,90.39,242.15,0.04199859214808929,0.11251199345790266,2061.825,97.11,28.03,1936.685,2394.365,332.54,457.68,1.1612842991039491,1.2363213429132769,23.913500000000113,22.923499999999876,17.663499999999885,74.5335,51.610000000000014,56.870000000000005,0.9586007903485382,0.7386413532105214,3.116795952077264,2.158195161728721,2.378154598866738
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.91,2176.1285,91.39,244.83,91.39,244.83,0.04199660084411376,0.11250714284565458,2084.7385,101.89,28.51,1954.3385,2420.9585,336.22,466.62,1.1612768220090912,1.2387610948666261,23.913499999999658,22.913500000000113,17.653500000000122,26.593500000000404,3.680000000000007,8.939999999999998,0.9581826165137032,0.7382231793756822,1.1120705877433577,0.15388797122964265,0.37384740836766367
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.92,2200.042,92.39,247.52,92.39,247.52,0.04199465282935508,0.11250694304926907,2107.652,106.68,28.99,1971.982,2447.562,339.91,475.58,1.161274252106135,1.2411685299358717,23.913500000000113,22.913500000000113,17.643499999999904,26.603499999999713,3.6899999999999977,8.95999999999998,0.958182616513685,0.7378050055407958,1.112488761578171,0.1543061450645025,0.37468375603738213
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.93,2223.9555,93.43,250.21,93.43,250.21,0.042010732678778875,0.11250674754958002,2130.5255,111.46,29.46,1989.6055,2474.1655,343.64,484.56,1.1612935400209947,1.243545768244006,23.913500000000113,22.87350000000015,17.623499999999922,26.603500000000167,3.7299999999999613,8.980000000000018,0.9565099211742338,0.7369686578710702,1.1124887615781898,0.15597884040395357,0.37552010370711003
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.94,2247.869,94.42,252.89,94.42,252.89,0.04200422711465838,0.11250210755164114,2153.449,116.24,29.94,2007.269,2500.759,347.31,493.49,1.1612808104580141,1.245851452894455,23.913500000000113,22.923499999999876,17.663500000000113,26.59349999999995,3.670000000000016,8.930000000000007,0.9586007903485382,0.7386413532105308,1.1120705877433175,0.15346979739477695,0.3734292345327938
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.95,2271.7825,95.42,255.58,95.42,255.58,0.04200226033962318,0.11250196706771007,2176.3625,121.02,30.42,2024.9225,2527.3625,351.0,502.44,1.1612782796983498,1.2481280147758742,23.913499999999658,22.913500000000113,17.653499999999894,26.603500000000167,3.6899999999999977,8.949999999999989,0.9581826165137032,0.7382231793756726,1.1124887615782109,0.15430614506450543,0.3742655822025265
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.96,2295.696,96.42,258.27,96.42,258.27,0.042000334539067895,0.11250182951052752,2199.276,125.81,30.9,2042.566,2553.966,354.69,511.4,1.161275801672914,1.2503713466296806,23.913500000000113,22.913499999999658,17.64350000000013,26.603499999999713,3.6899999999999977,8.95999999999998,0.9581826165136659,0.7378050055408053,1.112488761578171,0.1543061450645025,0.37468375603738213
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.97,2319.6095,97.41,260.95,97.41,260.95,0.04199413737527804,0.11249738371911305,2222.1995,130.59,31.38,2060.2295,2580.5595,358.36,520.33,1.1612636489208101,1.2525592415796396,23.913500000000113,22.92350000000033,17.663499999999885,26.59349999999995,3.670000000000016,8.930000000000064,0.9586007903485572,0.7386413532105214,1.1120705877433175,0.15346979739477695,0.3734292345327962
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.98,2343.523,98.41,263.64,98.41,263.64,0.041992333764166175,0.11249729573808323,2245.113,135.37,31.86,2077.883,2607.163,362.05,529.28,1.161261370808507,1.2547207903428632,23.913500000000113,22.913499999999658,17.653499999999894,26.603500000000167,3.6899999999999977,8.949999999999932,0.9581826165136659,0.7382231793756586,1.1124887615781898,0.1543061450645025,0.374265582202517
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,0.99,2367.4365,99.45,266.33,99.45,266.33,0.042007462502162154,0.11249720953444792,2267.9865,140.16,32.33,2095.4965,2633.7665,365.78,538.27,1.1612796196097286,1.2568699112596942,23.913499999999658,22.87350000000015,17.613500000000386,26.603500000000167,3.7299999999999613,8.990000000000009,0.956509921174252,0.7365504840362405,1.1124887615782109,0.15597884040395654,0.37593827754197995
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.0,2391.35,100.45,269.01,100.45,269.01,0.04200556171200368,0.11249294331653668,2290.9,144.94,32.81,2113.15,2660.36,369.46,547.21,1.1612728621938975,1.2589546411754962,23.913500000000113,22.913500000000113,17.653499999999894,26.59349999999995,3.680000000000007,8.940000000000055,0.958182616513685,0.7382231793756586,1.1120705877433175,0.1538879712296397,0.37384740836765895
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.01,2415.2635,101.44,271.7,101.44,271.7,0.041999558226255645,0.11249290191318669,2313.8235,149.72,33.53,2130.5735,2686.9635,373.14,556.39,1.1612655416456785,1.2611456492817543,23.913500000000113,22.923499999999876,17.423499999999876,26.603499999999713,3.680000000000007,9.17999999999995,0.9586007903485382,0.7286051811738053,1.112488761578171,0.1538879712296397,0.3838835804043702
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.02,2439.177,102.44,274.43,102.44,274.43,0.041997772199393484,0.11250926029558331,2336.737,154.5,34.24,2147.997,2713.607,376.87,565.61,1.161280452186104,1.2633197346178786,23.913500000000113,22.913500000000113,17.423499999999876,26.64350000000013,3.730000000000018,9.220000000000027,0.958182616513685,0.7286051811738053,1.1141614569176408,0.15597884040395596,0.385556275743826
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.03,2463.0905,103.44,277.12,103.44,277.12,0.04199602085266457,0.11250906127890957,2359.6505,159.29,34.96,2165.4005,2740.2105,380.56,574.81,1.1612781214845165,1.2654520491705807,23.913499999999658,22.913500000000113,17.40350000000035,26.603500000000167,3.6899999999999977,9.199999999999932,0.9581826165137032,0.7277688335041127,1.1124887615782109,0.15430614506450543,0.38471992807410305
Ireland,IE,2026-01,2026-01-01,ireland__standard_employee,Irlande · salarié standard,Ireland · standard employee,1.04,2487.004,104.43,279.8,104.43,279.8,0.041990282283422144,0.11250484518722126,2382.574,164.07,35.68,2182.824,2766.804,384.23,583.98,1.1612667644320807,1.2675341667491287,23.913500000000113,22.923499999999876,17.423499999999876,26.59349999999995,3.670000000000016,9.170000000000073,0.9586007903485382,0.7286051811738053,1.1120705877433175,0.15346979739477695,0.38346540656951217
