country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_pln,retirement_employee_monthly_pln,retirement_employer_monthly_pln,disability_employee_monthly_pln,disability_employer_monthly_pln,sickness_employee_monthly_pln,accident_employer_monthly_pln,labour_fund_employer_monthly_pln,guaranteed_benefits_fund_employer_monthly_pln,health_insurance_monthly_pln,employee_contributions_monthly_pln,employer_contributions_monthly_pln,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_pln,income_tax_monthly_pln,net_after_income_tax_monthly_pln,employer_cost_monthly_pln,social_wedge_monthly_pln,total_wedge_after_income_tax_monthly_pln,below_minimum_wage,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_pln,delta_net_before_income_tax_monthly_pln,delta_net_after_income_tax_monthly_pln,delta_employer_cost_monthly_pln,delta_social_wedge_monthly_pln,delta_total_wedge_after_income_tax_monthly_pln,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.05,5046.3,492.51888,492.51888,75.6945,328.0095,123.63435,84.27321,123.63435,5.0463,391.900704,1083.748434,1033.48224,0.214761,0.2048,3962.551566,192.534272,3770.017293,6079.78224,2117.230674,2309.764947,False,1.5343099362105042,1.612666936781661,48.0600000000004,37.73858700000028,32.76206899999988,57.902687999999216,20.164100999999846,25.140619000000243,0.7852390137328332,0.6816909904286228,1.2047999999999737,0.4195609862671593,0.5231090095713699
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.06,5094.36,497.209536,497.209536,76.4154,331.1334,124.81182,85.075812,124.81182,5.09436,395.633092,1094.069848,1043.324928,0.21476099999999998,0.2048,4000.290152,197.510789,3802.779363,6137.684928,2137.394776,2334.905565,False,1.534309936210504,1.6139997466340936,48.05999999999949,37.73858599999994,32.76207000000022,57.902688000000126,20.164102000000184,25.140617999999904,0.7852389929255169,0.6816910112359669,1.2048000000000154,0.4195610070744985,0.5231089887640485
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.07,5142.42,501.900192,501.900192,77.1363,334.2573,125.98929,85.878414,125.98929,5.14242,399.36548,1104.391262,1053.167616,0.214761,0.20479999999999998,4038.028738,202.487306,3835.541432,6195.587616,2157.558878,2360.046184,False,1.534309936210504,1.6153097875451738,48.0600000000004,37.73858599999994,32.76206899999988,57.902688000000126,20.16410199999973,25.140618999999788,0.785238992925502,0.6816909904286228,1.2047999999999925,0.41956100707448113,0.5231090095713603
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.08,5190.48,506.590848,506.590848,77.8572,337.3812,127.16676,86.681016,127.16676,5.19048,403.097867,1114.712675,1063.010304,0.21476099999999998,0.2048,4075.767325,207.463823,3868.303502,6253.490304,2177.722979,2385.186802,False,1.5343099362105042,1.6165976380302414,48.05999999999949,37.738586999999825,32.76207000000022,57.902688000000126,20.1641010000003,25.14061800000036,0.7852390137328387,0.6816910112359669,1.2048000000000154,0.41956098626717675,0.523108988764058
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.09,5238.54,511.281504,511.281504,78.5781,340.5051,128.34423,87.483618,128.34423,5.23854,406.830255,1125.034089,1072.852992,0.21476099999999998,0.2048,4113.505911,212.44034,3901.065571,6311.392992,2197.887081,2410.327421,False,1.5343099362105042,1.6178638571706028,48.0600000000004,37.738586000000396,32.76206899999988,57.902688000000126,20.16410199999973,25.140618999999788,0.7852389929255115,0.6816909904286228,1.2047999999999925,0.41956100707448113,0.5231090095713603
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.1,5286.6,515.97216,515.97216,79.299,343.629,129.5217,88.28622,129.5217,5.2866,410.562643,1135.355503,1082.69568,0.214761,0.20479999999999995,4151.244497,217.416857,3933.827641,6369.29568,2218.051183,2435.468039,False,1.5343099362105042,1.6191089854227916,48.0600000000004,37.738585999999486,32.76206999999977,57.902688000000126,20.164102000000184,25.140617999999904,0.7852389929254926,0.6816910112359446,1.2047999999999925,0.41956100707449057,0.5231089887640386
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.11,5334.66,520.662816,520.662816,80.0199,346.7529,130.69917,89.088822,130.69917,5.33466,414.29503,1145.676916,1092.538368,0.21476099999999998,0.2048,4188.983084,222.393374,3966.58971,6427.198368,2238.215284,2460.608658,False,1.5343099362105042,1.6203335453877281,48.05999999999949,37.738587000000734,32.76206900000034,57.902688000000126,20.164100999999846,25.140619000000243,0.7852390137328575,0.6816909904286451,1.2048000000000154,0.41956098626716726,0.5231090095713797
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.12,5382.72,525.353472,525.353472,80.7408,349.8768,131.87664,89.891424,131.87664,5.38272,418.027418,1155.99833,1102.381056,0.214761,0.2048,4226.72167,227.369891,3999.35178,6485.101056,2258.379386,2485.749276,False,1.5343099362105042,1.621538042542069,48.0600000000004,37.738585999999486,32.76206999999977,57.902688000000126,20.164102000000184,25.140617999999904,0.7852389929254926,0.6816910112359446,1.2047999999999925,0.41956100707449057,0.5231089887640386
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.13,5430.78,530.044128,530.044128,81.4617,353.0007,133.05411,90.694026,133.05411,5.43078,421.759806,1166.319744,1112.223744,0.21476099999999998,0.20479999999999998,4264.460256,232.346407,4032.113849,6543.003744,2278.543488,2510.889895,False,1.5343099362105042,1.6227229659339053,48.05999999999949,37.738586000000396,32.76206899999988,57.902687999999216,20.16410199999973,25.140618999999788,0.7852389929255263,0.6816909904286357,1.2047999999999965,0.41956100707448907,0.5231090095713703
Poland,PL,2026-01,2026-01-01,poland__standard_employee,Pologne · salarie standard,Poland · standard employee,1.14,5478.84,534.734784,534.734784,82.1826,356.1246,134.23158,91.496628,134.23158,5.47884,425.492193,1176.641157,1122.066432,0.21476099999999998,0.2048,4302.198843,237.322924,4064.875918,6600.906432,2298.707589,2536.030514,False,1.5343099362105042,1.6238887888448184,48.0600000000004,37.738586999999825,32.76206900000034,57.902688000000126,20.1641010000003,25.140619000000243,0.7852390137328238,0.6816909904286322,1.2047999999999925,0.4195609862671688,0.5231090095713699
