source,engine,profile_id,profile_label_fr,profile_label_en,dimension_status,dimension_territory,dimension_atmp,rgdu_expression_used,smic_multiple,gross_monthly_eur,net_monthly_eur,employer_cost_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,social_wedge_monthly_eur,employee_contribution_rate,employer_contribution_rate,social_wedge_rate,cost_to_net_ratio,rgdu_monthly_eur,rgdu_rate_gross,rgdu_rate_employer_cost,employee_csg_crds_monthly_eur,employee_old_age_monthly_eur,employee_retirement_complementary_ceg_cet_monthly_eur,employee_other_monthly_eur,employer_old_age_monthly_eur,employer_retirement_complementary_ceg_cet_monthly_eur,employer_health_monthly_eur,employer_family_monthly_eur,employer_unemployment_monthly_eur,employer_ags_monthly_eur,employer_atmp_monthly_eur,employer_fnal_monthly_eur,employer_csa_monthly_eur,employer_training_monthly_eur,employer_apprenticeship_tax_monthly_eur,employer_social_dialogue_monthly_eur,employer_other_monthly_eur,employer_contributions_before_relief_monthly_eur,api_total_contributions_monthly_eur,api_employer_contributions_monthly_eur,api_employee_contributions_monthly_eur,missing_variables_gross,missing_variables_net,missing_variables_employer_cost,status,error
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.0,1867.02,1428.55,1991.8,438.47,124.78,563.24,0.2348,0.0668,0.2828,1.3943,700.13,0.375,0.3515,182.59,136.29,74.87,44.72,199.02,112.21,242.71,98.02,79.35,4.67,18.67,1.87,5.6,10.27,8.21,0.3,44.01,824.91,563.24,124.78,438.47,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.01,1885.69,1443.06,2029.05,442.63,143.36,585.99,0.2347,0.076,0.2888,1.4061,689.6,0.3657,0.3399,184.39,137.66,75.62,44.97,201.01,113.33,245.14,99.0,80.14,4.71,18.86,1.89,5.66,10.37,8.3,0.3,44.25,832.96,585.99,143.36,442.63,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.02,1904.36,1457.56,2066.08,446.8,161.72,608.52,0.2346,0.0849,0.2945,1.4175,679.29,0.3567,0.3288,186.2,139.02,76.36,45.21,203.0,114.45,247.57,99.98,80.94,4.76,19.04,1.9,5.71,10.47,8.38,0.3,44.49,841.01,608.52,161.72,446.8,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.03,1923.03,1472.07,2102.87,450.96,179.84,630.81,0.2345,0.0935,0.3,1.4285,669.21,0.348,0.3182,188.01,140.38,77.11,45.46,204.99,115.57,249.99,100.96,81.73,4.81,19.23,1.92,5.77,10.58,8.46,0.31,44.73,849.06,630.81,179.84,450.96,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.04,1941.7,1486.57,2139.6,455.13,197.9,653.03,0.2344,0.1019,0.3052,1.4393,659.21,0.3395,0.3081,189.81,141.74,77.86,45.71,206.99,116.7,252.42,101.94,82.52,4.85,19.42,1.94,5.83,10.68,8.54,0.31,44.97,857.11,653.03,197.9,455.13,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.05,1960.37,1501.08,2176.05,459.29,215.68,674.98,0.2343,0.11,0.3102,1.4497,649.47,0.3313,0.2985,191.62,143.11,78.61,45.96,208.98,117.82,254.85,102.92,83.32,4.9,19.6,1.96,5.88,10.78,8.63,0.31,45.21,865.15,674.98,215.68,459.29,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.06,1979.04,1515.58,2212.22,463.46,233.18,696.64,0.2342,0.1178,0.3149,1.4597,640.02,0.3234,0.2893,193.43,144.47,79.36,46.2,210.97,118.94,257.28,103.9,84.11,4.95,19.79,1.98,5.94,10.88,8.71,0.32,45.45,873.2,696.64,233.18,463.46,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.07,1997.71,1530.09,2248.49,467.62,250.78,718.4,0.2341,0.1255,0.3195,1.4695,630.48,0.3156,0.2804,195.23,145.83,80.11,46.45,212.96,120.06,259.7,104.88,84.9,4.99,19.98,2.0,5.99,10.99,8.79,0.32,45.69,881.25,718.4,250.78,467.62,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.08,2016.38,1544.59,2284.44,471.79,268.06,739.84,0.234,0.1329,0.3239,1.479,621.25,0.3081,0.2719,197.04,147.2,80.86,46.7,214.95,121.18,262.13,105.86,85.7,5.04,20.16,2.02,6.05,11.09,8.87,0.32,45.93,889.3,739.84,268.06,471.79,8,26,35,ok,
mon-entreprise,api/v1/evaluate,cadre__alsace_moselle__atmp_1,Cadre · Alsace-Moselle · AT/MP 1 %,Executive · Alsace-Moselle · AT/MP 1%,cadre,alsace_moselle,atmp_1,salarié . cotisations . exonérations . RGDU,1.09,2035.05,1559.1,2320.26,475.95,285.21,761.16,0.2339,0.1401,0.3281,1.4882,612.14,0.3008,0.2638,198.85,148.56,81.61,46.94,216.94,122.31,264.56,106.84,86.49,5.09,20.35,2.04,6.11,11.19,8.95,0.33,46.17,897.35,761.16,285.21,475.95,8,26,35,ok,
