smic_multiple,rgdu_monthly_eur_may,rgdu_monthly_eur_june,delta_rgdu_eur
2.97,107.56,0.0,-107.56
2.98,107.92,0.0,-107.92
2.99,108.29,0.0,-108.29
3.0,108.11,0.0,-108.11
3.01,108.47,0.0,-108.47
3.02,108.83,0.0,-108.83
3.03,109.19,0.0,-109.19
3.04,0.0,0.0,0.0
3.05,0.0,0.0,0.0
3.06,0.0,0.0,0.0
3.07,0.0,0.0,0.0
3.08,0.0,0.0,0.0
3.09,0.0,0.0,0.0
3.1,0.0,0.0,0.0
3.11,0.0,0.0,0.0
3.12,0.0,0.0,0.0
3.13,0.0,0.0,0.0
3.14,0.0,0.0,0.0
3.15,0.0,0.0,0.0
3.16,0.0,0.0,0.0
3.17,0.0,0.0,0.0
3.18,0.0,0.0,0.0
3.19,0.0,0.0,0.0
3.2,0.0,0.0,0.0
3.21,0.0,0.0,0.0
3.22,0.0,0.0,0.0
3.23,0.0,0.0,0.0
3.24,0.0,0.0,0.0
3.25,0.0,0.0,0.0
3.26,0.0,0.0,0.0
3.27,0.0,0.0,0.0
3.28,0.0,0.0,0.0
3.29,0.0,0.0,0.0
3.3,0.0,0.0,0.0
3.31,0.0,0.0,0.0
3.32,0.0,0.0,0.0
3.33,0.0,0.0,0.0
3.34,0.0,0.0,0.0
3.35,0.0,0.0,0.0
3.36,0.0,0.0,0.0
3.37,0.0,0.0,0.0
3.38,0.0,0.0,0.0
3.39,0.0,0.0,0.0
3.4,0.0,0.0,0.0
3.41,0.0,0.0,0.0
3.42,0.0,0.0,0.0
3.43,0.0,0.0,0.0
3.44,0.0,0.0,0.0
3.45,0.0,0.0,0.0
3.46,0.0,0.0,0.0
3.47,0.0,0.0,0.0
3.48,0.0,0.0,0.0
3.49,0.0,0.0,0.0
3.5,0.0,0.0,0.0
