country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,region_code,region_label_fr,region_label_en,smic_multiple,gross_monthly_eur,employee_ss_monthly_eur,employer_ss_monthly_eur,employee_contributions_monthly_eur,employer_contributions_monthly_eur,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_eur,irpf_monthly_eur,net_after_income_tax_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_income_tax_monthly_eur,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_income_tax_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_income_tax_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.01,1438.745,93.52,455.36,93.52,455.36,0.065001094704065,0.3164980590723165,1345.225,18.54,1326.685,1894.105,548.88,567.42,1.4080209630359233,1.4276976071938703,14.24499999999989,13.314999999999827,10.784999999999854,18.75500000000011,5.439999999999941,7.969999999999914,0.9347139347139297,0.7571077571077527,1.3166023166023344,0.38188838188838065,0.5594945594945577
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.02,1452.99,94.44,459.87,94.44,459.87,0.06499700617347676,0.31649908120496356,1358.55,21.07,1337.48,1912.86,554.31,575.38,1.4080158993044056,1.4301970870592458,14.245000000000118,13.325000000000045,10.795000000000073,18.75499999999988,5.42999999999995,7.960000000000036,0.9354159354159308,0.7578097578097567,1.3166023166022973,0.3811863811863745,0.5587925587925567
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.03,1467.235,95.37,464.38,95.37,464.38,0.0649998125726281,0.31650008349037473,1371.865,23.6,1348.265,1931.615,559.75,583.35,1.408021197421029,1.4326671685462427,14.24499999999989,13.315000000000055,10.785000000000082,18.75500000000011,5.440000000000055,7.970000000000027,0.9347139347139457,0.7571077571077687,1.3166023166023344,0.38188838188838864,0.5594945594945657
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.04,1481.48,96.3,468.89,96.3,468.89,0.065002565002565,0.31650106650106646,1385.18,26.13,1359.05,1950.37,565.19,591.32,1.4080263936816875,1.4350980464294911,14.245000000000118,13.315000000000055,10.784999999999854,18.75499999999988,5.440000000000055,7.970000000000027,0.9347139347139308,0.7571077571077406,1.3166023166022973,0.38188838188838253,0.5594945594945567
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.05,1495.725,97.22,473.4,97.22,473.4,0.06499857928429356,0.316502030787745,1398.505,28.66,1369.845,1969.125,570.62,599.28,1.4080214228765717,1.4374801528640102,14.24499999999989,13.325000000000045,10.795000000000073,18.75500000000011,5.42999999999995,7.959999999999923,0.9354159354159458,0.7578097578097687,1.3166023166023344,0.3811863811863806,0.5587925587925576
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.06,1509.97,98.15,477.91,98.15,477.91,0.06500129141638576,0.3165029768803354,1411.82,33.68,1378.14,1987.88,576.06,609.74,1.4080265189613408,1.4424369077161974,14.245000000000118,13.314999999999827,8.295000000000073,18.75500000000011,5.439999999999941,10.460000000000036,0.9347139347139148,0.5823095823095826,1.3166023166023133,0.3818883818883746,0.7342927342927308
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.07,1524.215,99.07,482.42,99.07,482.42,0.06499739210019582,0.316503905288952,1425.145,40.64,1384.505,2006.635,581.49,622.13,1.408021639903308,1.449351934445885,14.24499999999989,13.325000000000045,6.365000000000009,18.75499999999988,5.430000000000064,12.389999999999986,0.9354159354159458,0.4468234468234509,1.3166023166023184,0.3811863811863886,0.8697788697788755
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.08,1538.46,100.0,486.92,100.0,486.92,0.065000065000065,0.3164983164983165,1438.46,47.6,1390.86,2025.38,586.92,634.52,1.4080196877215911,1.456206951095006,14.245000000000118,13.315000000000055,6.354999999999791,18.74500000000012,5.42999999999995,12.389999999999986,0.9347139347139308,0.44612144612142773,1.3159003159003133,0.3811863811863745,0.8697788697788617
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.09,1552.705,100.93,491.43,100.93,491.43,0.06500268885589987,0.316499270627711,1451.775,54.56,1397.215,2044.135,592.36,646.92,1.4080246594685817,1.4630067670329907,14.24499999999989,13.315000000000055,6.355000000000018,18.75499999999988,5.440000000000055,12.399999999999977,0.9347139347139457,0.4461214461214508,1.3166023166023184,0.38188838188838864,0.8704808704808755
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.1,1566.95,101.85,495.94,101.85,495.94,0.06499888318070135,0.3165002074092983,1465.1,61.52,1403.58,2062.89,597.79,659.31,1.4080199303801786,1.469734535972299,14.245000000000118,13.324999999999818,6.365000000000009,18.75499999999988,5.42999999999995,12.389999999999986,0.9354159354159148,0.44682344682344377,1.3166023166022973,0.3811863811863745,0.8697788697788617
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.11,1581.195,102.78,500.45,102.78,500.45,0.0650014704068758,0.3165011273119381,1478.415,68.48,1409.935,2081.645,603.23,671.71,1.408024810354332,1.4764120331788342,14.24499999999989,13.315000000000055,6.355000000000018,18.75500000000011,5.440000000000055,12.400000000000091,0.9347139347139457,0.4461214461214508,1.3166023166023344,0.38188838188838864,0.8704808704808835
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.12,1595.44,103.7,504.96,103.7,504.96,0.06499774356917214,0.316502030787745,1491.74,75.44,1416.3,2100.4,608.66,684.1,1.4080201643718075,1.4830191343641885,14.245000000000118,13.325000000000045,6.365000000000009,18.75500000000011,5.42999999999995,12.389999999999986,0.9354159354159308,0.44682344682344377,1.3166023166023133,0.3811863811863745,0.8697788697788617
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.13,1609.685,104.63,509.47,104.63,509.47,0.06500029508879067,0.3165029182728298,1505.055,82.4,1422.655,2119.155,614.1,696.5,1.4080249558986215,1.4895775855706408,14.24499999999989,13.315000000000055,6.355000000000018,18.75500000000011,5.440000000000055,12.399999999999977,0.9347139347139457,0.4461214461214508,1.3166023166023344,0.38188838188838864,0.8704808704808755
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.14,1623.93,105.56,513.97,105.56,513.97,0.06500280184490712,0.31649763228710603,1518.37,89.35,1429.02,2137.9,619.53,708.88,1.4080230773790314,1.496060237085555,14.245000000000118,13.314999999999827,6.365000000000009,18.74499999999989,5.42999999999995,12.379999999999995,0.9347139347139148,0.44682344682344377,1.3159003159002973,0.3811863811863745,0.8690768690768615
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.15,1638.175,106.48,518.48,106.48,518.48,0.06499916065133457,0.31649854258549914,1531.695,96.32,1435.375,2156.655,624.96,721.28,1.4080185676652335,1.502502830270835,14.24499999999989,13.325000000000045,6.355000000000018,18.75500000000011,5.430000000000064,12.399999999999977,0.9354159354159458,0.4461214461214508,1.3166023166023344,0.3811863811863886,0.8704808704808755
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.16,1652.42,107.41,522.99,107.41,522.99,0.06500163396715121,0.3164994371890924,1545.01,103.27,1441.74,2175.41,630.4,733.67,1.4080232490404594,1.5088781611108801,14.245000000000118,13.315000000000055,6.365000000000009,18.754999999999654,5.439999999999941,12.389999999999986,0.9347139347139308,0.44682344682344377,1.3166023166022813,0.3818883818883746,0.8697788697788617
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.17,1666.665,108.33,527.5,108.33,527.5,0.064998064998065,0.3165003165003165,1558.335,110.62,1447.715,2194.165,635.83,746.45,1.408018814953139,1.515605626798092,14.24499999999989,13.325000000000045,5.974999999999909,18.75500000000011,5.430000000000064,12.780000000000086,0.9354159354159458,0.4194454194454163,1.3166023166023344,0.3811863811863886,0.89715689715691
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.18,1680.91,109.26,532.01,109.26,532.01,0.06500050567847179,0.3165011809079606,1571.65,118.63,1453.02,2212.92,641.27,759.9,1.4080234148824486,1.5229797249865797,14.245000000000118,13.315000000000055,5.305000000000064,18.75500000000011,5.439999999999941,13.449999999999932,0.9347139347139308,0.3724113724113738,1.3166023166023133,0.3818883818883746,0.9441909441909315
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.19,1695.155,110.19,536.52,110.19,536.52,0.0650029053390398,0.3165020307877451,1584.965,127.42,1457.545,2231.675,646.71,774.13,1.4080279375254345,1.5311191078148534,14.24499999999989,13.314999999999827,4.525000000000091,18.75500000000011,5.440000000000055,14.230000000000018,0.9347139347139297,0.31765531765532645,1.3166023166023344,0.38188838188838864,0.9989469989470079
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.2,1709.4,111.11,541.03,111.11,541.03,0.064999414999415,0.3165028665028665,1598.29,136.22,1462.07,2250.43,652.14,788.36,1.4080235751959906,1.5392081090508662,14.245000000000118,13.325000000000045,4.524999999999864,18.754999999999654,5.42999999999995,14.230000000000018,0.9354159354159308,0.31765531765530547,1.3166023166022813,0.3811863811863745,0.9989469989469919
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.21,1723.645,112.04,545.54,112.04,545.54,0.06500178401004848,0.3165036884045148,1611.605,145.01,1466.595,2269.185,657.58,802.59,1.4080280217547103,1.5472471950333937,14.24499999999989,13.315000000000055,4.525000000000091,18.75500000000011,5.440000000000055,14.230000000000018,0.9347139347139457,0.31765531765532645,1.3166023166023344,0.38188838188838864,0.9989469989470079
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.22,1737.89,112.96,550.04,112.96,550.04,0.06499836008032729,0.3164987427282509,1624.93,153.8,1471.13,2287.93,663.0,816.8,1.4080175761417415,1.5552194571519853,14.245000000000118,13.325000000000045,4.535000000000082,18.74499999999989,5.419999999999959,14.209999999999923,0.9354159354159308,0.31835731835732145,1.3159003159002973,0.38048438048437444,0.9975429975429838
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.23,1752.135,113.89,554.55,113.89,554.55,0.06500069914704061,0.3164995847922677,1638.245,162.59,1475.655,2306.685,668.44,831.03,1.408021999151531,1.5631600882320054,14.24499999999989,13.314999999999827,4.524999999999864,18.75500000000011,5.440000000000055,14.230000000000018,0.9347139347139297,0.3176553176553105,1.3166023166023344,0.38188838188838864,0.9989469989470079
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.24,1766.38,114.81,559.06,114.81,559.06,0.06499733919088758,0.3165004132746068,1651.57,169.61,1481.96,2325.44,673.87,843.48,1.408017825463044,1.5691651596534317,14.245000000000118,13.325000000000045,6.305000000000064,18.75500000000011,5.42999999999995,12.450000000000045,0.9354159354159308,0.4426114426114434,1.3166023166023133,0.3811863811863745,0.8739908739908699
Spain,ES,2026-01,2026-01-01,spain__standard_employee_andalucia,Espagne · salarie standard (Andalousie),Spain · standard employee (Andalusia),andalucia,Andalousie,Andalusia,1.25,1780.625,115.74,563.57,115.74,563.57,0.064999648999649,0.3165012285012285,1664.885,176.45,1488.435,2344.195,679.31,855.76,1.4080221757058295,1.5749394498248162,14.24499999999989,13.315000000000055,6.474999999999909,18.75500000000011,5.439999999999941,12.279999999999973,0.9347139347139457,0.45454545454545164,1.3166023166023344,0.38188838188838065,0.8620568620568667
