country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_eur,employee_contribution_rate,employee_contributions_monthly_eur,ww_rate,aof_rate,zvw_rate,wko_rate,whk_rate,contribution_base_monthly_eur,ww_monthly_eur,aof_monthly_eur,zvw_monthly_eur,wko_monthly_eur,whk_monthly_eur,employer_contributions_monthly_eur,employer_contribution_rate,net_before_income_tax_monthly_eur,annual_income_eur,annual_box1_tax_eur,annual_algemene_heffingskorting_eur,annual_arbeidskorting_eur,annual_loonheffing_eur,loonheffing_monthly_eur,net_after_loonheffing_monthly_eur,employer_cost_monthly_eur,social_wedge_monthly_eur,total_wedge_after_loonheffing_monthly_eur,cost_to_net_ratio,cost_to_net_after_loonheffing_ratio,delta_gross_monthly_eur,delta_net_before_income_tax_monthly_eur,delta_net_after_loonheffing_monthly_eur,delta_employer_cost_monthly_eur,delta_social_wedge_monthly_eur,delta_total_wedge_after_loonheffing_monthly_eur,marginal_net_before_income_tax_rate,marginal_net_after_loonheffing_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_loonheffing_rate
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.0,2338.44,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2338.44,64.073256,178.422972,142.64484,11.6922,35.544288,432.377556,0.1849,2338.44,28061.28,10031.91,3115.0,5343.22,1573.69,131.14,2207.3,2770.817556,432.377556,563.517556,1.1849,1.2552972210392785,23.384399999999914,23.384399999999914,15.484400000000278,27.708176000000094,4.323776000000009,12.223776000000043,1.0,0.6621679410205237,1.184900018815971,0.18490001881596385,0.5227320777954572
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.01,2361.8244,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2361.8244,64.713989,180.207202,144.071288,11.809122,35.899731,436.701332,0.18489999999999998,2361.8244,28341.84,10132.21,3115.0,5348.69,1668.52,139.04,2222.7844,2798.525732,436.701332,575.741332,1.1849,1.2590180728099407,23.384399999999914,23.384399999999914,15.484399999999823,27.708176000000094,4.3237759999999525,12.223776000000043,1.0,0.6621679410205042,1.184900018815971,0.18490001881596144,0.5227320777954572
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.02,2385.2088,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2385.2088,65.354721,181.991431,145.497737,11.926044,36.255174,441.025107,0.1849,2385.2088,28622.52,10232.55,3115.0,5354.16,1763.39,146.95,2238.2588,2826.233907,441.025107,587.975107,1.1849,1.2626930840705284,23.384399999999914,23.384399999999914,15.47440000000006,27.708174999999756,4.323775000000012,12.233774999999923,1.0,0.6617403055028188,1.1848999760524048,0.1848999760524122,0.5231596705495958
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.03,2408.5932,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2408.5932,65.995454,183.775661,146.924185,12.042966,36.610617,445.348883,0.18489999999999998,2408.5932,28903.08,10332.85,3115.0,5359.63,1858.22,154.85,2253.7432,2853.942083,445.348883,600.198883,1.1848999999999998,1.266312010472178,23.384399999999914,23.384399999999914,15.484399999999823,27.708176000000094,4.323776000000009,12.223776000000043,1.0,0.6621679410205042,1.184900018815971,0.18490001881596385,0.5227320777954572
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.04,2431.9776,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2431.9776,66.636186,185.559891,148.350634,12.159888,36.96606,449.672658,0.18490000000000004,2431.9776,29183.76,10433.19,3115.0,5365.11,1953.08,162.76,2269.2176,2881.650258,449.672658,612.432658,1.1849,1.2698871444677673,23.38440000000037,23.38440000000037,15.47440000000006,27.70817500000021,4.323775000000012,12.233774999999923,1.0,0.6617403055028059,1.1848999760524013,0.1848999760524086,0.5231596705495857
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.05,2455.362,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2455.362,67.276919,187.344121,149.777082,12.27681,37.321502,453.996434,0.1849,2455.362,29464.32,10533.49,3115.0,5370.58,2047.91,170.66,2284.702,2909.358434,453.996434,624.656434,1.1849,1.273408275477502,23.384399999999914,23.384399999999914,15.484400000000278,27.708176000000094,4.323776000000009,12.223776000000043,1.0,0.6621679410205237,1.184900018815971,0.18490001881596385,0.5227320777954572
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.06,2478.7464,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2478.7464,67.917651,189.12835,151.20353,12.393732,37.676945,458.320209,0.18489999999999998,2478.7464,29745.0,10633.84,3114.42,5376.05,2143.37,178.61,2300.1364,2937.066609,458.320209,636.930209,1.1848999999999998,1.2769097560301206,23.384399999999914,23.384399999999914,15.434399999999641,27.708174999999756,4.323774999999955,12.273775,1.0,0.6600297634320187,1.1848999760524048,0.18489997605240976,0.5248702126203814
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.07,2502.1308,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2502.1308,68.558384,190.91258,152.629979,12.510654,38.032388,462.643985,0.18489999999999998,2502.1308,30025.56,10734.14,3096.47,5381.52,2256.15,188.01,2314.1208,2964.774785,462.643985,650.653985,1.1849,1.2811668193466823,23.384399999999914,23.384399999999914,13.984400000000278,27.708176000000094,4.323776000000009,13.723776000000043,1.0,0.5980226133661898,1.184900018815971,0.18490001881596385,0.5868774054497911
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.08,2525.5152,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2525.5152,69.199116,192.69681,154.056427,12.627576,38.387831,466.96776,0.18489999999999998,2525.5152,30306.24,10834.48,3078.52,5386.99,2368.97,197.41,2328.1052,2992.48296,466.96776,664.37776,1.1848999999999998,1.285372740235278,23.384399999999914,23.384399999999914,13.984399999999823,27.708174999999756,4.323775000000012,13.723774999999932,1.0,0.5980226133661704,1.1848999760524048,0.1848999760524122,0.5868773626862346
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.09,2548.8996,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2548.8996,69.839849,194.481039,155.482876,12.744498,38.743274,471.291536,0.1849,2548.8996,30586.8,10934.78,3060.57,5392.47,2481.74,206.81,2342.0896,3020.191136,471.291536,678.101536,1.1849,1.2895284347960043,23.38440000000037,23.38440000000037,13.984399999999823,27.708176000000094,4.323776000000009,13.723776000000043,1.0,0.5980226133661587,1.1849000188159482,0.18490001881596027,0.5868774054497796
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.1,2572.284,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2572.284,70.480582,196.265269,156.909324,12.86142,39.098717,475.615312,0.1849,2572.284,30867.36,11035.08,3042.62,5397.94,2594.52,216.21,2356.074,3047.899312,475.615312,691.825312,1.1849,1.2936347973790296,23.384399999999914,23.384399999999914,13.984400000000278,27.708176000000094,4.323776000000009,13.723776000000043,1.0,0.5980226133661898,1.184900018815971,0.18490001881596385,0.5868774054497911
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.11,2595.6684,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2595.6684,71.121314,198.049499,158.335772,12.978342,39.45416,479.939087,0.1849,2595.6684,31148.04,11135.42,3024.66,5403.41,2707.35,225.61,2370.0584,3075.607487,479.939087,705.549087,1.1848999999999998,1.2976927012262651,23.384399999999914,23.384399999999914,13.984399999999823,27.70817500000021,4.323774999999955,13.723774999999932,1.0,0.5980226133661704,1.1848999760524244,0.18489997605240976,0.5868773626862346
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.12,2619.0528,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2619.0528,71.762047,199.833729,159.762221,13.095264,39.809603,484.262863,0.1849,2619.0528,31428.6,11235.72,3006.71,5408.88,2820.13,235.01,2384.0428,3103.315663,484.262863,719.272863,1.1849,1.3017029990904527,23.384399999999914,23.384399999999914,13.984400000000278,27.70817599999964,4.323776000000009,13.723776000000043,1.0,0.5980226133661898,1.1849000188159517,0.18490001881596385,0.5868774054497911
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.13,2642.4372,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2642.4372,72.402779,201.617958,161.188669,13.212186,40.165045,488.586638,0.1849,2642.4372,31709.28,11336.07,2988.75,5414.35,2932.97,244.41,2398.0272,3131.023838,488.586638,732.996638,1.1849,1.3056665238325904,23.384399999999914,23.384399999999914,13.984399999999823,27.70817500000021,4.323775000000012,13.723774999999932,1.0,0.5980226133661704,1.1848999760524244,0.1848999760524122,0.5868773626862346
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.14,2665.8216,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2665.8216,73.043512,203.402188,162.615118,13.329108,40.520488,492.910414,0.18490000000000004,2665.8216,31989.84,11436.37,2970.8,5419.82,3045.75,253.81,2412.0116,3158.732014,492.910414,746.720414,1.1849,1.309584088998577,23.38440000000037,23.38440000000037,13.984399999999823,27.708176000000094,4.323776000000009,13.723776000000043,1.0,0.5980226133661587,1.1849000188159482,0.18490001881596027,0.5868774054497796
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.15,2689.206,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2689.206,73.684244,205.186418,164.041566,13.44603,40.875931,497.234189,0.1849,2689.206,32270.52,11536.71,2952.84,5425.3,3158.57,263.21,2425.996,3186.440189,497.234189,760.444189,1.1849,1.31345648937591,23.384399999999914,23.384399999999914,13.984400000000278,27.708174999999756,4.323775000000012,13.723775000000046,1.0,0.5980226133661898,1.1848999760524048,0.1848999760524122,0.5868773626862394
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.16,2712.5904,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2712.5904,74.324977,206.970648,165.468014,13.562952,41.231374,501.557965,0.1849,2712.5904,32551.08,11637.01,2934.89,5430.77,3271.35,272.61,2439.9804,3214.148365,501.557965,774.167965,1.1849,1.3172845015312418,23.384399999999914,23.384399999999914,13.984399999999823,27.708176000000094,4.323776000000009,13.72377599999993,1.0,0.5980226133661704,1.184900018815971,0.18490001881596385,0.5868774054497862
Netherlands,NL,2026-07,2026-07-01,netherlands__standard_permanent_contract,"Pays-Bas · contrat à durée indéterminée, grand employeur","Netherlands · permanent contract, large employer",1.17,2735.9748,0.0,0.0,0.0274,0.0763,0.061,0.005,0.0152,2735.9748,74.96571,208.754877,166.894463,13.679874,41.586817,505.881741,0.1849,2735.9748,32831.64,11737.31,2916.94,5436.24,3384.13,282.01,2453.9648,3241.856541,505.881741,787.891741,1.1848999999999998,1.3210688843295553,23.384399999999914,23.384399999999914,13.984400000000278,27.708176000000094,4.3237759999999525,13.723776000000043,1.0,0.5980226133661898,1.184900018815971,0.18490001881596144,0.5868774054497911
