country,country_code,version,effective_from,profile_id,profile_label_fr,profile_label_en,smic_multiple,gross_monthly_sek,arbetsgivaravgifter_monthly_sek,grundavdrag_annual_sek,kommunalskatt_annual_sek,statlig_skatt_annual_sek,jobbskatteavdrag_annual_sek,employee_contributions_monthly_sek,employer_contributions_monthly_sek,employee_contribution_rate,employer_contribution_rate,net_before_income_tax_monthly_sek,income_tax_monthly_sek,net_after_income_tax_monthly_sek,employer_cost_monthly_sek,social_wedge_monthly_sek,total_wedge_after_income_tax_monthly_sek,cost_to_net_ratio,cost_to_net_after_income_tax_ratio,delta_gross_monthly_sek,delta_net_before_income_tax_monthly_sek,delta_net_after_income_tax_monthly_sek,delta_employer_cost_monthly_sek,delta_social_wedge_monthly_sek,delta_total_wedge_after_income_tax_monthly_sek,marginal_net_before_income_tax_rate,marginal_net_after_income_tax_rate,marginal_employer_cost_rate,marginal_social_wedge_rate,marginal_total_wedge_after_income_tax_rate
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.65,194755.5,61192.18,17400.0,708657.96,335333.2,47552.0,0.0,61192.18,0.0,0.314200009755822,194755.5,83036.6,111718.9,255947.68,61192.18,144228.78,1.314200009755822,2.290997136563285,344.70000000001164,344.70000000001164,170.4499999999971,453.0099999999802,108.30999999999767,282.5599999999977,1.0,0.49448796054537664,1.3142152596459673,0.3142152596460517,0.8197272991006328
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.66,195100.2,61300.48,17400.0,709921.63,336160.48,47552.0,0.0,61300.48,0.0,0.3141999854433773,195100.2,83210.84,111889.36,256400.68,61300.48,144511.32,1.3141999854433772,2.291555515198228,344.70000000001164,344.70000000001164,170.4600000000064,453.0,108.30000000000291,282.54000000000815,1.0,0.4945169712793752,1.314186248912053,0.3141862489120953,0.81966927763272
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.67,195444.9,61408.79,17400.0,711185.3,336987.76,47552.0,0.0,61408.79,0.0,0.3142000123820064,195444.9,83385.09,112059.81,256853.69,61408.79,144793.88,1.3142000123820063,2.292112488857513,344.69999999998254,344.69999999998254,170.4499999999971,453.0100000000093,108.30999999999767,282.5599999999977,1.0,0.4944879605454184,1.3142152596461627,0.3142152596460782,0.819727299100702
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.68,195789.6,61517.09,17400.0,712448.97,337815.04,47552.0,0.0,61517.09,0.0,0.3141999881505453,195789.6,83559.33,112230.27,257306.69,61517.09,145076.42,1.3141999881505453,2.292667477321404,344.70000000001164,344.70000000001164,170.4600000000064,453.0,108.29999999999563,282.54000000000815,1.0,0.4945169712793752,1.314186248912053,0.3141862489120742,0.81966927763272
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.69,196134.3,61625.4,17400.0,713712.64,338642.32,47552.0,0.0,61625.4,0.0,0.31420001498972894,196134.3,83733.58,112400.72,257759.7,61625.4,145358.98,1.3142000149897288,2.2932210754521853,344.69999999998254,344.69999999998254,170.4499999999971,453.0100000000093,108.31000000000495,282.5599999999977,1.0,0.4944879605454184,1.3142152596461627,0.3142152596460993,0.819727299100702
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.7,196479.0,61733.7,17400.0,714976.31,339469.6,47552.0,0.0,61733.7,0.0,0.3141999908387156,196479.0,83907.83,112571.17,258212.7,61733.7,145641.53,1.3141999908387156,2.2937729082854874,344.70000000001164,344.70000000001164,170.4499999999971,453.0,108.29999999999563,282.54999999998836,1.0,0.49448796054537664,1.314186248912053,0.3141862489120742,0.8196982883666343
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.71,196823.7,61842.01,17400.0,716239.98,340296.88,47552.0,0.0,61842.01,0.0,0.3142000175791838,196823.7,84082.07,112741.63,258665.71,61842.01,145924.08,1.314200017579184,2.294322957722006,344.70000000001164,344.70000000001164,170.4600000000064,453.0099999999802,108.31000000000495,282.54999999998836,1.0,0.4945169712793752,1.3142152596459673,0.3142152596460728,0.8196982883666343
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.72,197168.4,61950.31,17400.0,717503.65,341124.16,47552.0,0.0,61950.31,0.0,0.3141999935080875,197168.4,84256.32,112912.08,259118.71,61950.31,146206.63,1.3141999935080875,2.2948714610518204,344.69999999998254,344.69999999998254,170.4499999999971,453.0,108.29999999999563,282.55000000001746,1.0,0.4944879605454184,1.314186248912164,0.31418624891210073,0.8196982883667878
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.73,197513.1,62058.62,17400.0,718767.32,341951.44,47552.0,0.0,62058.62,0.0,0.31420002015056214,197513.1,84430.56,113082.54,259571.72,62058.62,146489.18,1.3142000201505621,2.2954181963015685,344.70000000001164,344.70000000001164,170.45999999999185,453.0100000000093,108.31000000000495,282.54999999998836,1.0,0.49451697127933303,1.3142152596460517,0.3142152596460728,0.8196982883666343
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.74,197857.8,62166.92,17400.0,720030.99,342778.72,47552.0,0.0,62166.92,0.0,0.31419999615885746,197857.8,84604.81,113252.99,260024.72,62166.92,146771.73,1.3141999961588575,2.295963400171598,344.69999999998254,344.69999999998254,170.45000000001164,453.0,108.29999999999563,282.55000000001746,1.0,0.4944879605454606,1.314186248912164,0.31418624891210073,0.8196982883667878
Sweden,SE,2026-01,2026-01-01,sweden__standard_employee_stockholm,Suede · salarie standard (Stockholm),Sweden · standard employee (Stockholm),5.75,198202.5,62275.23,17400.0,721294.67,343606.0,47552.0,0.0,62275.23,0.0,0.3142000227040527,198202.5,84779.06,113423.44,260477.73,62275.23,147054.29,1.3142000227040527,2.296507053568469,344.70000000001164,344.70000000001164,170.4499999999971,453.0100000000093,108.31000000000495,282.5599999999977,1.0,0.49448796054537664,1.3142152596460517,0.3142152596460728,0.8197272991006328
